assay.name	strain.name	trt	sum.mean	se	n()
ActivityIndex	N2	DMSO	421.6531234739828	56.833400070615944	5
ActivityIndex	N2	DDT	395.7439991363889	34.43160141127501	5
ActivityIndex	BR5271	DMSO	388.56231196122076	33.19626492810982	4
ActivityIndex	BR5271	DDT	378.2073534389577	30.44113797102286	4
ActivityIndex	BR5270	DMSO	286.6616499924908	11.418217592098948	4
ActivityIndex	BR5270	DDT	306.2948753518049	43.588690987851784	4
Asymmetry	N2	DMSO	-8.242996599478951e-4	0.0033814241706363493	5
Asymmetry	N2	DDT	-0.0017163441666666667	0.003736414249878266	5
Asymmetry	BR5271	DMSO	-4.6003289473684215e-4	0.0011178287523154504	4
Asymmetry	BR5271	DDT	6.006623581011351e-4	0.0021662555745638255	4
Asymmetry	BR5270	DMSO	-4.404852564102565e-4	0.0014058904671272418	4
Asymmetry	BR5270	DDT	0.002090956832437276	0.0011072184768913635	4
Attenuation	N2	DMSO	33.55713799020202	4.1903339917786635	5
Attenuation	N2	DDT	36.693863611666664	3.791059297040524	5
Attenuation	BR5271	DMSO	36.75853819144737	6.582991049650947	4
Attenuation	BR5271	DDT	36.13140320717234	2.007214682855359	4
Attenuation	BR5270	DMSO	37.52593019478022	1.8033611525225415	4
Attenuation	BR5270	DDT	40.203436607750895	3.9810459263625955	4
BrushStroke	N2	DMSO	0.32122202339046574	0.030547146414549153	5
BrushStroke	N2	DDT	0.3199486308333333	0.02134102451817396	5
BrushStroke	BR5271	DMSO	0.29842560372807014	0.00253964588521888	4
BrushStroke	BR5271	DDT	0.30718929827141384	0.030332006427388206	4
BrushStroke	BR5270	DMSO	0.24899896437728938	0.015339837652334088	4
BrushStroke	BR5270	DDT	0.26774156525537635	0.027188909917223957	4
Curling	N2	DMSO	1.0568966509278304	0.3231530295761807	5
Curling	N2	DDT	0.6904591991666666	0.12540060486127072	5
Curling	BR5271	DMSO	0.8973822380116959	0.3523247756161887	4
Curling	BR5271	DDT	0.876542885500516	0.2805874822062274	4
Curling	BR5270	DMSO	1.1384238332417582	0.37674203124574046	4
Curling	BR5270	DDT	1.8301594724910393	0.4802080041064251	4
ReverseSwim	N2	DMSO	4.7784615384615385e-5	4.7784615384615385e-5	5
ReverseSwim	N2	DDT	0.0011471713888888888	7.434948874362399e-4	5
ReverseSwim	BR5271	DMSO	0	0	4
ReverseSwim	BR5271	DDT	3.621470588235294e-4	3.621470588235294e-4	4
ReverseSwim	BR5270	DMSO	0.004355876923076923	0.0025037646998212525	4
ReverseSwim	BR5270	DDT	0.0025766611111111113	9.64294816398024e-4	4
Stretch	N2	DMSO	0.4039685681987294	0.01085148770137738	5
Stretch	N2	DDT	0.41428564	0.006718847135130619	5
Stretch	BR5271	DMSO	0.3915009620248538	0.014013154114898074	4
Stretch	BR5271	DDT	0.41031299669762644	0.010236564809114659	4
Stretch	BR5270	DMSO	0.43803058498168496	0.018773292879347196	4
Stretch	BR5270	DDT	0.4568199678091398	0.01924915838871859	4
TravelSpeed	N2	DMSO	8.94171967143928	0.8490624831095375	5
TravelSpeed	N2	DDT	9.719362640555556	0.7535488659042819	5
TravelSpeed	BR5271	DMSO	8.445857899305555	0.6947263748327305	4
TravelSpeed	BR5271	DDT	8.190903646646026	0.5918875265116129	4
TravelSpeed	BR5270	DMSO	5.6083495993589745	0.518696820362302	4
TravelSpeed	BR5270	DDT	4.770823329749104	1.2109104089378742	4
WaveInitRate	N2	DMSO	106.88639563995612	8.224274394213287	5
WaveInitRate	N2	DDT	105.31290078638888	4.87788334503071	5
WaveInitRate	BR5271	DMSO	110.44449491692251	9.421594765411305	4
WaveInitRate	BR5271	DDT	99.44395186597008	5.861173004260076	4
WaveInitRate	BR5270	DMSO	82.5098876808608	8.0614414909681	4
WaveInitRate	BR5270	DDT	88.31086466073988	6.29878443946258	4
WaveNumber	N2	DMSO	0.4756545686315645	0.0074106576067479	5
WaveNumber	N2	DDT	0.5039726980555556	0.019643093904655337	5
WaveNumber	BR5271	DMSO	0.48129390409356726	0.010483878660338689	4
WaveNumber	BR5271	DDT	0.45196277182662536	0.02504155565401217	4
WaveNumber	BR5270	DMSO	0.5149377402014652	0.02280343843998302	4
WaveNumber	BR5270	DDT	0.5618178282930107	0.0545687765008678	4
